Food Name,Category Name,Calories,Carbs,Fats,Fiber,Protein,Sugar,Density
Bisque,Soups,50,9.6,1,0.2,0.92,1.95,0
Tomato soup,Soups,32,7.5,0.21,0.5,0.71,4,0
Ramen noodle soup,Soups,440,60,18,2.9,10,2,0
Chipotle salsa,Soups,25,6.3,0,3.1,0,6.3,0
Enchilada sauce,Soups,40,8.3,0,1.7,1.7,6.7,0
Picante sauce,Soups,25,6.3,0,3.1,0,6.3,0
Taco sauce,Soups,50,13,0,0,0,6.3,0
Indian masala,Soups,57,11,0.88,2.6,3.3,2.3,0
Sriracha,Soups,93,19,0.93,2.2,1.9,15,0
Cheese sauce,Soups,438,61,18,1,7.7,10,0
Chowder,Soups,99,7.5,6.3,0.9,3.1,1.95,0
Alfredo sauce,Soups,535,37,36,2,15,5.4,0
Chili sauce,Soups,21,3.9,0.6,0.7,0.9,2.6,0
Worcestershire sauce,Soups,78,19,0,0,0,10,0
Dashi,Soups,438,65,14,0.2,17,14,0
Succotash,Soups,99,20,1,3.8,5,1.95,0
Egg Drop Soup,Soups,27,4.3,0.61,0.4,1.2,0.09,0
Hot and sour soup,Soups,39,4.4,1.2,0.5,2.6,0.42,0
Wonton soup,Soups,32,5.3,0.26,0.2,2.1,0.34,0
Tomatillo Salsa Verde,Soups,47,6.3,1.6,0,0,6.3,0
Tartar sauce,Soups,211,13,17,0.5,1,4.3,0
Potato flour,Baked Products,357,83,0.34,5.9,6.9,3.5,0
Corn pudding,Baked Products,131,17,5,1.2,4.4,6.6,0
Biscuit,Baked Products,353,45,16,1.5,7,2.2,0
Banana bread,Baked Products,326,55,11,1.1,4.3,6.2,0
Cornbread,Baked Products,330,54,9.6,2.3,6.6,16,0
Egg bread,Baked Products,287,48,6,2.3,9.5,1.8,0
Dough,Baked Products,272,52,2.4,2.2,11,4.6,0
French bread,Baked Products,319,62,2.1,3.1,13,3.6,0
Irish soda bread,Baked Products,290,56,5,2.6,6.6,6.2,0
Italian bread,Baked Products,271,50,3.5,3.2,8.8,3.2,0
Multigrain bread,Baked Products,288,47,4.6,8.1,15,6.9,0
Oat bread,Baked Products,236,40,4.4,4.5,10,7.7,0
Oatmeal bread,Baked Products,269,49,4.4,4,8.4,8.1,0
Pita bread,Baked Products,275,56,1.2,2.2,9.1,1.3,0
Protein bread,Baked Products,245,44,2.2,3,12,1.4,0
Pumpernickel bread,Baked Products,250,48,3.1,6.5,8.7,0.53,0
Raisin bread,Baked Products,274,52,4.4,4.3,7.9,5.7,0
Rye bread,Baked Products,259,48,3.3,5.8,8.5,3.9,0
White Bread,Baked Products,266,49,3.3,2.7,8.9,5.7,0
Bread crumbs,Baked Products,395,72,5.3,4.5,13,6.2,0
Bread sticks,Baked Products,412,68,9.5,3,12,1.3,0
Bread stuffing,Baked Products,386,76,3.4,3.2,11,8.3,0
Angel food cake,Baked Products,258,58,0.8,1.5,5.9,6.2,0
Carrot cake,Baked Products,415,79,9.8,2.3,5.1,6.2,0
Chocolate cake,Baked Products,371,53,15,1.6,5.3,6.2,0
White cake,Baked Products,356,63,10,1,4.4,57,0
Coffeecake,Baked Products,339,44,15,1,7,6.2,0
Fruitcake,Baked Products,324,62,9.1,3.7,2.9,27,0
Gingerbread,Baked Products,356,49,16,2.3,3.9,6.2,0
Marble cake,Baked Products,416,80,12,2.9,3.4,36,0
Pineapple cake,Baked Products,319,51,12,0.8,3.5,6.2,0
Pound cake,Baked Products,353,54,14,0.6,5,33,0
Shortcake,Baked Products,346,49,14,2.3,6.1,6.2,0
Yellow cake,Baked Products,379,55,18,1.5,3.2,39,0
Cheesecake,Baked Products,321,26,23,0.4,5.5,22,0
Chocolate brownie,Baked Products,466,50,29,2.3,6.2,6.2,0
Butter cookie,Baked Products,467,69,19,0.8,6.1,20,0
Wafer,Baked Products,433,73,14,3.4,6.6,37,0
Fig bars,Baked Products,348,71,7.3,4.6,3.7,46,0
Gingersnaps,Baked Products,416,77,9.8,2.2,5.6,20,0
Graham cracker,Baked Products,430,78,11,3.4,6.7,25,0
Ladyfingers,Baked Products,363,60,9.1,1,11,6.2,0
Cookie dough,Baked Products,424,59,19,2.5,5.4,6.2,0
Shortbread,Baked Products,514,64,26,1.3,5.4,22,0
Puff pastry,Baked Products,558,46,39,1.5,7.4,0.75,0
Cheese crackers,Baked Products,489,59,23,2.3,11,4.5,0
Matzo,Baked Products,395,84,1.4,3,10,0.29,0
Melba toast,Baked Products,390,77,3.2,6.3,12,0.94,0
Cracker,Baked Products,510,61,26,2.3,6.6,8.2,0
Cheese sandwich,Baked Products,497,58,25,3.1,9.8,6.2,0
Croissant,Baked Products,406,46,21,2.6,8.2,11,0
Crouton,Baked Products,407,74,6.6,5.1,12,6.2,0
Danish pastry,Baked Products,374,37,22,1,8,7,0
Doughnuts,Baked Products,434,47,25,1.7,5.3,18,0
English muffins,Baked Products,227,44,1.7,3.5,8.9,3.5,0
French toast,Baked Products,229,25,11,2.3,7.7,6.2,0
Hush puppies,Baked Products,337,46,14,2.8,7.7,2,0
Muffin,Baked Products,375,53,16,1.1,4.5,31,0
Pancake,Baked Products,227,28,9.7,2.3,6.4,6.2,0
Blueberry pie,Baked Products,245,34,12,2.3,2.7,6.2,0
Cherry pie,Baked Products,270,39,12,2.3,2.8,6.2,0
Cream pie,Baked Products,353,38,22,0.8,4.2,27,0
Lemon meringue pie,Baked Products,285,39,13,2.3,3.8,6.2,0
Pecan pie,Baked Products,412,52,22,2.3,4.9,6.2,0
Pumpkin pie,Baked Products,243,35,9.8,1.8,3.9,19,0
Pie crust,Baked Products,518,52,31,2.3,6.9,6.2,0
Pastry,Baked Products,551,45,38,1.5,7.3,0.74,0
Filo,Baked Products,299,53,6,1.9,7.1,0.18,0
Popovers,Baked Products,371,71,4.3,2.3,10,6.2,0
Dinner rolls,Baked Products,310,52,6.5,2,11,5.6,0
French rolls,Baked Products,277,50,4.3,3.2,8.6,0.31,0
Apple strudel,Baked Products,274,41,11,2.2,3.3,26,0
Sweet roll,Baked Products,372,51,16,2.4,6.2,32,0
Taco shells,Baked Products,476,63,22,6.7,6.4,1.5,0
Waffle,Baked Products,291,33,14,2.3,7.9,6.2,0
Wonton wrappers,Baked Products,291,58,1.5,1.8,9.8,6.2,0
Baking powder,Baked Products,53,28,0,0.2,0,0,0
Cream of tartar,Baked Products,258,62,0,0.2,0,0,0
Baker's yeast,Baked Products,105,18,1.9,8.1,8.4,0,0
Yeast,Baked Products,325,41,7.6,27,40,0,0
Chocolate chip cookie,Baked Products,488,58,28,2.3,5.7,6.2,0
Pita,Baked Products,275,56,1.2,2.2,9.1,1.3,0
Ladyfinger,Baked Products,363,60,9.1,1,11,6.2,0
English muffin,Baked Products,235,46,1.8,2.7,7.7,6.2,0
Apple pie,Baked Products,237,34,11,1.6,1.9,6.2,0
Saltine cracker,Baked Products,393,82,1.6,2.7,11,0.38,0
Tart,Baked Products,372,77,6,1.5,4,4.9,0
Pop tarts,Baked Products,412,68,13,1.1,4.6,31,0
Chocolate eclair,Baked Products,241,40,6.9,2.1,4.4,17,0
Tostada shells,Baked Products,474,64,23,5.8,6.2,6.2,0
Pan dulce,Baked Products,367,56,12,2.3,9.4,13,0
Cream cracker,Baked Products,484,65,20,2.4,7,9.4,0
Cinnamon roll,Baked Products,452,49,27,1.2,4.5,26,0
Bagel,Baked Products,250,49,1.5,4.1,10,6.1,0
Potato bread,Baked Products,266,47,3.1,6.3,13,9.4,0
Focaccia,Baked Products,249,36,7.9,1.8,8.8,1.8,0
Patty,Baked Products,204,0,16,0,15,6.2,0
Strudel,Baked Products,318,50,11,1.2,5,17,0
Murray Vanilla Wafers,Baked Products,461,73,17,1.4,4,32,0
Keebler Oatmeal Cookies,Baked Products,478,68,20,4.5,7.1,31,0
Keebler Sugar Cones,Baked Products,375,78,3.7,2.1,7.3,26,0
Roti (Chapati),Baked Products,299,46,9.2,9.7,7.9,2.9,0
Paratha,Baked Products,326,45,13,9.6,6.4,4.2,0
Naan,Baked Products,286,46,6.7,4.8,10,3.4,0
Navajo frybread,Baked Products,330,48,12,2.3,6.7,2,0
Lavash - Armenian Bread,Baked Products,281,60,1.2,3.1,8.7,6.2,0
Hot dog,Fast Foods,290,4.2,26,0,10,3.55,0
Potato wedges,Fast Foods,123,26,2.2,2,2.7,0.3,0
Veggie burger,Fast Foods,177,14,6.3,4.9,16,1.1,0
Hash browns,Fast Foods,272,29,17,2.7,2.6,0.56,0
Burrito,Fast Foods,206,33,6.2,1.4,6.5,3.55,0
Nachos,Fast Foods,343,35,22,3.2,4.3,2.2,0
Taco,Fast Foods,226,20,13,3.9,8.9,0.9,0
Taco salad,Fast Foods,170,12,9.2,3,6.7,3.55,0
Cheeseburger,Fast Foods,308,28,15,2,17,4.9,0
Chicken sandwich,Fast Foods,250,21,11,1.4,16,3.6,0
Fish sandwich,Fast Foods,257,27,12,1,10,3.5,0
Hamburger,Fast Foods,295,24,14,0.9,17,4.2,0
Roast beef sandwich,Fast Foods,244,22,10,1.3,15,3.8,0
Submarine sandwich,Fast Foods,213,20,10,1.2,11,3.2,0
Coleslaw,Fast Foods,153,15,9.9,1.9,0.95,12,0
French fries,Fast Foods,312,41,15,3.8,3.4,0.3,0
Mashed potato,Fast Foods,89,15,2.8,1.3,1.7,0.5,0
Chicken teriyaki subway,Fast Foods,155,23,2.4,1.2,11,6.1,0
McDonald's hamburger,Fast Foods,264,30,10,1.3,13,6,0
McDonald's Filet-O-Fish,Fast Foods,282,26,15,1.4,11,3.7,0
McDonald's Cheeseburger,Fast Foods,263,28,12,1.1,13,6.2,0
McDonald's Quarter Pounder,Fast Foods,244,22,12,1.6,14,5.1,0
McDonald's Big Mac,Fast Foods,257,20,15,1.6,12,4,0
McDonald's french fries,Fast Foods,323,43,15,3.9,3.4,0.21,0
Wendy's hamburger,Fast Foods,213,17,11,1.3,13,3.55,0
Wendy's chicken sandwich,Fast Foods,214,22,8.1,1.3,14,3.55,0
Wendy's Spicy Chicken Nuggets,Fast Foods,326,14,23,1.4,16,0.08,0
Burger King Whopper,Fast Foods,233,19,13,1.8,11,4.2,0
Nachos Supreme,Fast Foods,223,21,12,3.7,6.2,1.6,0
Taco Salad,Fast Foods,170,12,9.2,3,6.7,3.55,0
Pepperoni Pizza,Fast Foods,298,30,14,1.8,12,3.2,0
Pizza,Fast Foods,266,33,9.7,2.3,11,3.6,0
Chicken McNuggets,Fast Foods,302,15,20,1.4,16,0.08,0
McGriddles,Fast Foods,312,31,18,1,8.4,11,0
McFlurry,Fast Foods,177,27,6.5,0.2,4,24,0
McChicken Sandwich,Fast Foods,273,28,13,1.3,10,3.6,0
Egg McMUFFIN,Fast Foods,228,22,9.7,1.1,14,2.1,0
Chicken fingers,Fast Foods,271,17,14,1.2,19,0.4,0
KFC Fried Chicken,Fast Foods,384,19,28,0,14,0,0
Club sandwich,Fast Foods,220,20,8.1,1.2,17,4.7,0
Yogurt parfait,Fast Foods,84,16,1,1.1,3.4,12,0
Chicken Quesadilla,Fast Foods,294,24,15,1.7,15,1.9,0
Greek Tzatziki,Fast Foods,203,30,6.6,5.9,11,2.7,0
Tikka Masala,Fast Foods,191,30,5.9,6,10,4,0
Beef Stroganoff,"Meals, Entrees, and Side Dishes",98,9,4.6,0.6,5.1,1.7,0
Bran cereal,"Meals, Entrees, and Side Dishes",259,74,4.9,29,13,16,0
Kellogg's Apple Jacks,"Meals, Entrees, and Side Dishes",375,88,3.4,9.3,5.1,44,0
Cap'n Crunch Cereal,"Meals, Entrees, and Side Dishes",398,86,5.1,2.5,4.4,44,0
General Mills Cheerios,"Meals, Entrees, and Side Dishes",376,73,6.7,9.4,12,4.4,0
Cocoa Krispies,"Meals, Entrees, and Side Dishes",389,88,2.7,1.4,4.6,39,0
Cocoa Pebbles Cereal,"Meals, Entrees, and Side Dishes",397,86,4.1,1.6,4.8,36,0
Cookie Crisp Cereal,"Meals, Entrees, and Side Dishes",380,85,4.4,5.1,5.2,35,0
Kellogg's Corn Flakes,"Meals, Entrees, and Side Dishes",357,84,0.4,3.3,7.5,9.5,0
Kellogg's Froot Loops,"Meals, Entrees, and Side Dishes",375,88,3.4,9.3,5.3,42,0
Golden Grahams Cereal,"Meals, Entrees, and Side Dishes",374,85,3.2,5.6,5.3,35,0
Grape-Nuts Cereal,"Meals, Entrees, and Side Dishes",361,80,1.8,13,11,8.9,0
Honeycomb Cereal,"Meals, Entrees, and Side Dishes",394,87,2.9,3.2,6,32,0
Kix Cereal,"Meals, Entrees, and Side Dishes",357,83,3.5,8.8,7.7,9.8,0
Lucky Charms Cereal,"Meals, Entrees, and Side Dishes",380,81,5,5,7.7,36,0
Kellogg's Special K,"Meals, Entrees, and Side Dishes",377,73,1.8,1.4,18,13,0
Kellogg's Corn Pops Cereal,"Meals, Entrees, and Side Dishes",387,90,1.3,8.4,4.8,31,0
Kellogg's Frosted Flakes Cereal,"Meals, Entrees, and Side Dishes",369,89,1.7,2.2,4,35,0
Kellogg's Honey Smacks Cereal,"Meals, Entrees, and Side Dishes",380,89,2.2,5,5.7,56,0
Post Golden Crisp Cereal,"Meals, Entrees, and Side Dishes",380,90,1.7,5,5.5,54,0
General Mills Trix Cereal,"Meals, Entrees, and Side Dishes",384,86,3.8,3.9,4.9,32,0
Corn grits,"Meals, Entrees, and Side Dishes",74,16,0.49,1.1,1.6,0.1,0
Cream of Wheat,"Meals, Entrees, and Side Dishes",62,13,0.24,0.6,1.8,0.07,0
Cream of Rice,"Meals, Entrees, and Side Dishes",52,12,0.1,0.1,0.9,0.04,0
Granola,"Meals, Entrees, and Side Dishes",389,81,5.7,7,8.7,28,0
Kellogg's Crispix Cereal,"Meals, Entrees, and Side Dishes",378,87,0.8,1,6.6,13,0
General Mills Franken Berry,"Meals, Entrees, and Side Dishes",386,85,4.3,4.2,5.5,27,0
General Mills Count Chocula,"Meals, Entrees, and Side Dishes",383,85,4.7,5,5.4,33,0
General Mills Cocoa Puffs,"Meals, Entrees, and Side Dishes",383,84,5.2,5.7,5.6,37,0
General Mills Cinnamon Toast Crunch,"Meals, Entrees, and Side Dishes",410,78,10,6.8,5.5,30,0
General Mills Boo Berry,"Meals, Entrees, and Side Dishes",386,85,4.3,4.2,5.5,27,0
Kellogg's Rice Krispie Treats,"Meals, Entrees, and Side Dishes",395,86,4.2,0.4,4.3,30,0
"Cereals ready-to-eat, Post, Waffle Crisp","Meals, Entrees, and Side Dishes",390,83,5,4.4,6.6,35,0
Raisin Bran Cereal,"Meals, Entrees, and Side Dishes",342,80,1.9,10,7.6,33,0
Poi,"Meals, Entrees, and Side Dishes",112,27,0.14,0.4,0.38,0.39,0
Gratin,"Meals, Entrees, and Side Dishes",132,11,7.6,1.8,5.1,8.95,0
Potato salad,"Meals, Entrees, and Side Dishes",143,11,8.2,1.3,2.7,8.95,0
Potato pancake,"Meals, Entrees, and Side Dishes",268,28,15,3.3,6.1,1.8,0
Pickle relish,"Meals, Entrees, and Side Dishes",91,23,0.46,1.5,1.5,8.95,0
Cutlet,"Meals, Entrees, and Side Dishes",117,7.3,1.5,4.5,23,0.2,0
Jerky,"Meals, Entrees, and Side Dishes",410,11,26,1.8,33,9,0
Corn chips,"Meals, Entrees, and Side Dishes",538,57,33,4,6.2,0.27,0
Granola bars,"Meals, Entrees, and Side Dishes",471,64,20,5.3,10,29,0
Popcorn,"Meals, Entrees, and Side Dishes",387,78,4.5,15,13,0.87,0
Caramel popcorn,"Meals, Entrees, and Side Dishes",400,81,7.8,3.8,6.4,45,0
Cheese popcorn,"Meals, Entrees, and Side Dishes",526,52,33,9.9,9.3,0.79,0
Pork skins,"Meals, Entrees, and Side Dishes",544,0,31,0,61,0,0
Rice cakes,"Meals, Entrees, and Side Dishes",380,80,3.5,3.8,9,8.95,0
Tortilla chips,"Meals, Entrees, and Side Dishes",472,68,21,5.4,7.1,0.78,0
Trail mix,"Meals, Entrees, and Side Dishes",462,45,29,3.1,14,8.95,0
Fruit roll ups,"Meals, Entrees, and Side Dishes",373,85,3.5,3.1,0.1,39,0
Banana chips,"Meals, Entrees, and Side Dishes",519,58,34,7.7,2.3,35,0
Corn nuts,"Meals, Entrees, and Side Dishes",436,72,14,8.4,9,8.95,0
Beef sticks,"Meals, Entrees, and Side Dishes",550,5.4,50,3.1,22,8.95,0
Potato sticks,"Meals, Entrees, and Side Dishes",522,53,34,3.4,6.7,0.22,0
Corn cake,"Meals, Entrees, and Side Dishes",387,83,2.4,1.9,8.1,23,0
Potato chips,"Meals, Entrees, and Side Dishes",536,53,35,4.8,7,0.22,0
Pretzels,"Meals, Entrees, and Side Dishes",381,79,3.5,2.8,9.1,8.95,0
Tagliatelle,"Meals, Entrees, and Side Dishes",288,55,2.3,3.1,11,8.95,0
Scrambled egg,"Meals, Entrees, and Side Dishes",212,2.1,16,0,14,1.6,0
Caesar salad,"Meals, Entrees, and Side Dishes",265,32,9.5,1.7,13,4,0
Ravioli,"Meals, Entrees, and Side Dishes",77,14,1.5,1.3,2.5,3.7,0
Tortellini,"Meals, Entrees, and Side Dishes",307,47,7.2,1.9,14,0.95,0
Lasagne,"Meals, Entrees, and Side Dishes",135,15,4.9,1.7,7.3,3.1,0
Fettuccine,"Meals, Entrees, and Side Dishes",99,14,2.7,2,6.2,1.3,0
Penne,"Meals, Entrees, and Side Dishes",126,17,4,2.7,5.7,1.9,0
Sweet potato chips,"Meals, Entrees, and Side Dishes",532,57,32,8.8,2.9,8.8,0
Plantain chips,"Meals, Entrees, and Side Dishes",531,64,30,3.5,2.3,0.92,0
Clif Bar,"Meals, Entrees, and Side Dishes",346,65,5.9,7.4,15,32,0
Prawn crackers (Shrimp chips),"Meals, Entrees, and Side Dishes",426,59,18,5.6,7.1,21,0
Pico de gallo,"Meals, Entrees, and Side Dishes",31,9.4,0,3.1,0,6.3,0
Pilaf,"Meals, Entrees, and Side Dishes",359,76,1.4,1.2,10,1.5,0
Taquitos,"Meals, Entrees, and Side Dishes",284,34,13,2.9,9.2,1.3,0
Salisbury steak,"Meals, Entrees, and Side Dishes",149,6.8,10,1,7,0.26,0
Tortilla,"Meals, Entrees, and Side Dishes",310,46,9.8,9.8,9.8,2.4,0
Tamale,"Meals, Entrees, and Side Dishes",153,18,6.1,3.1,6.3,0.99,0
Pupusas,"Meals, Entrees, and Side Dishes",232,23,10,2.6,12,1.5,0
Arepa,"Meals, Entrees, and Side Dishes",219,37,5.4,2.6,5.5,0.87,0
Spanish rice,"Meals, Entrees, and Side Dishes",185,31,5.3,1.2,3.3,1.3,0
Chinese egg rolls,"Meals, Entrees, and Side Dishes",250,27,12,2.6,8.3,8.95,0
Chinese fried rice,"Meals, Entrees, and Side Dishes",174,33,3,1.1,4.1,0.56,0
Chinese cuisine,"Meals, Entrees, and Side Dishes",105,7.3,5.3,1.5,7.1,2.4,0
Mozzarella cheese sticks,"Meals, Entrees, and Side Dishes",324,27,18,1.6,14,2.8,0
Chinese lemon chicken,"Meals, Entrees, and Side Dishes",252,21,14,1,12,8.2,0
General tso's chicken,"Meals, Entrees, and Side Dishes",295,24,16,0.9,13,12,0
Kung Pao chicken,"Meals, Entrees, and Side Dishes",129,6.9,7,1.5,9.8,3,0
Lo mein,"Meals, Entrees, and Side Dishes",121,20,2.4,1.3,4.8,2.6,0
Orange chicken,"Meals, Entrees, and Side Dishes",262,22,13,0.8,14,14,0
Sesame chicken,"Meals, Entrees, and Side Dishes",293,27,14,0.7,14,16,0
Vermicelli,"Meals, Entrees, and Side Dishes",331,82,0.1,3.9,0.1,17,0
Baby food,Baby Foods,379,73,4.4,7.5,12,0.87,0
Zwieback,Baby Foods,426,74,9.7,2.5,10,13,0
Cherry juice,Baby Foods,47,11,0.1,0.3,0.2,11,0
